"","MDS","SerNum","PPC","AssignLoc","ReportingStatus","StartDateTime","StopDateTime"
"1","CV022B","0200000024","TF","KIRTLAND","IR",2015-01-01 00:01:00,"2015-09-03 11:00:00"
"2","CV022B","0200000024","BQ","KIRTLAND","OOR",2015-09-03 11:00:00,"2015-09-10 18:00:00"
"3","CV022B","0200000024","TF","KIRTLAND","IR",2015-09-10 18:00:00,"2016-01-23 15:01:00"
"4","CV022B","0200000024","DM","KIRTLAND","OOR",2016-01-23 15:01:00,"2016-01-23 15:02:00"
"5","CV022B","0200000024","TF","KIRTLAND","IR",2016-01-23 15:02:00,"2016-01-23 15:03:00"
"6","CV022B","0200000024","DM","KIRTLAND","OOR",2016-01-23 15:03:00,"2016-02-08 13:00:00"
"7","CV022B","0200000024","TF","KIRTLAND","IR",2016-02-08 13:00:00,"2016-05-19 04:36:00"
"8","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-05-19 04:36:00,"2016-05-20 02:01:00"
"9","CV022B","0200000024","TF","KIRTLAND","IR",2016-05-20 02:01:00,"2016-06-15 15:42:00"
"10","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-06-15 15:42:00,"2016-06-18 04:00:00"
"11","CV022B","0200000024","TF","KIRTLAND","IR",2016-06-18 04:00:00,"2016-07-07 01:05:00"
"12","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-07-07 01:05:00,"2016-07-08 19:30:00"
"13","CV022B","0200000024","TF","KIRTLAND","IR",2016-07-08 19:30:00,"2016-07-22 02:30:00"
"14","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-07-22 02:30:00,"2016-07-29 21:10:00"
"15","CV022B","0200000024","TF","KIRTLAND","IR",2016-07-29 21:10:00,"2016-08-04 01:00:00"
"16","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-08-04 01:00:00,"2016-08-09 13:00:00"
"17","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-09 13:00:00,"2016-08-11 11:12:00"
"18","CV022B","0200000024","DM","KIRTLAND","OOR",2016-08-11 11:12:00,"2016-08-11 11:13:00"
"19","CV022B","0200000024","DJ","KIRTLAND","OOR",2016-08-11 11:13:00,"2016-08-11 13:30:00"
"20","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-11 13:30:00,"2016-08-11 23:30:00"
"21","CV022B","0200000024","DJ","KIRTLAND","OOR",2016-08-11 23:30:00,"2016-08-11 23:31:00"
"22","CV022B","0200000024","DM","KIRTLAND","OOR",2016-08-11 23:31:00,"2016-08-12 19:00:00"
"23","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-12 19:00:00,"2016-08-13 04:00:00"
"24","CV022B","0200000024","DM","KIRTLAND","OOR",2016-08-13 04:00:00,"2016-08-17 11:00:00"
"25","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-17 11:00:00,"2016-08-17 21:30:00"
"26","CV022B","0200000024","DM","KIRTLAND","OOR",2016-08-17 21:30:00,"2016-08-19 18:00:00"
"27","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-19 18:00:00,"2016-08-22 13:30:00"
"28","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-08-22 13:30:00,"2016-08-22 19:00:00"
"29","CV022B","0200000024","TF","KIRTLAND","IR",2016-08-22 19:00:00,"2016-08-22 19:45:00"
"30","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-08-22 19:45:00,"2016-09-13 23:00:00"
"31","CV022B","0200000024","TF","KIRTLAND","IR",2016-09-13 23:00:00,"2016-09-14 19:49:00"
"32","CV022B","0200000024","BQ","KIRTLAND","OOR",2016-09-14 19:49:00,"2016-09-20 17:00:00"
"33","CV022B","0200000024","TF","KIRTLAND","IR",2016-09-20 17:00:00,"2017-09-12 00:00:00"
"34","CV022B","0200000024","BQ","KIRTLAND","OOR",2017-09-12 00:00:00,"2017-09-13 05:30:00"
"35","CV022B","0200000024","TF","KIRTLAND","IR",2017-09-13 05:30:00,"2017-12-29 23:05:00"
"36","CV022B","0200000024","DM","KIRTLAND","OOR",2017-12-29 23:05:00,"2017-12-29 23:08:00"
"37","CV022B","0200000024","TF","KIRTLAND","IR",2017-12-29 23:08:00,"2019-04-01 15:30:00"
"38","CV022B","0200000024","BQ","KIRTLAND","OOR",2019-04-01 15:30:00,"2019-04-03 21:00:00"
"39","CV022B","0200000024","TF","KIRTLAND","IR",2019-04-03 21:00:00,"2019-04-04 06:01:00"
"40","CV022B","0200000024","BQ","KIRTLAND","OOR",2019-04-04 06:01:00,"2019-04-04 15:00:00"
"41","CV022B","0200000024","TF","KIRTLAND","IR",2019-04-04 15:00:00,"2019-04-23 23:10:00"
"42","CV022B","0200000024","DK","KIRTLAND","OOR",2019-04-23 23:10:00,"2019-05-15 11:00:00"
"43","CV022B","0200000024","TF","KIRTLAND","IR",2019-05-15 11:00:00,"2019-05-16 21:30:00"
"44","CV022B","0200000024","BQ","KIRTLAND","OOR",2019-05-16 21:30:00,"2019-05-17 01:40:00"
"45","CV022B","0200000024","TF","KIRTLAND","IR",2019-05-17 01:40:00,"2019-06-18 19:31:00"
"46","CV022B","0200000024","BT","KIRTLAND","OOR",2019-06-18 19:31:00,"2019-06-20 18:00:00"
"47","CV022B","0200000024","TF","KIRTLAND","IR",2019-06-20 18:00:00,"2019-06-20 18:01:00"
"48","CV022B","0200000024","BQ","KIRTLAND","OOR",2019-06-20 18:01:00,"2019-06-20 20:00:00"
"49","CV022B","0200000024","BU","KIRTLAND","OOR",2019-06-20 20:00:00,"2019-06-21 16:30:00"
"50","CV022B","0200000024","DM","KIRTLAND","OOR",2019-06-21 16:30:00,"2019-06-21 19:30:00"
"51","CV022B","0200000024","BU","KIRTLAND","OOR",2019-06-21 19:30:00,"2019-06-21 19:31:00"
"52","CV022B","0200000024","TF","KIRTLAND","IR",2019-06-21 19:31:00,"2019-07-19 13:30:00"
"53","CV022B","0200000024","DM","KIRTLAND","OOR",2019-07-19 13:30:00,"2019-07-19 17:30:00"
"54","CV022B","0200000024","TF","KIRTLAND","IR",2019-07-19 17:30:00,"2019-10-08 02:25:00"
"55","CV022B","0200000024","BQ","KIRTLAND","OOR",2019-10-08 02:25:00,"2019-10-09 11:40:00"
"56","CV022B","0200000024","TF","KIRTLAND","IR",2019-10-09 11:40:00,"2019-11-13 17:00:00"
"57","CV022B","0200000024","BU","KIRTLAND","OOR",2019-11-13 17:00:00,"2019-11-25 14:15:00"
"58","CV022B","0200000024","DO","KIRTLAND","OOR",2019-11-25 14:15:00,"2019-11-25 14:16:00"
"59","CV022B","0200000024","BU","KIRTLAND","OOR",2019-11-25 14:16:00,"2019-11-25 14:19:00"
"60","CV022B","0200000024","DO","KIRTLAND","OOR",2019-11-25 14:19:00,"2020-05-08 06:01:00"
"61","CV022B","0200000024","DR","KIRTLAND","OOR",2020-05-08 06:01:00,"2020-05-13 21:11:00"
"62","CV022B","0200000024","TF","KIRTLAND","IR",2020-05-13 21:11:00,"2020-05-15 10:31:00"
"63","CV022B","0200000024","BT","KIRTLAND","OOR",2020-05-15 10:31:00,"2020-05-17 10:31:00"
"64","CV022B","0200000024","TF","KIRTLAND","IR",2020-05-17 10:31:00,"2020-12-15 20:30:00"
"65","CV022B","0200000024","BQ","KIRTLAND","OOR",2020-12-15 20:30:00,"2020-12-16 23:30:00"
"66","CV022B","0200000024","TF","KIRTLAND","IR",2020-12-16 23:30:00,"2021-04-30 10:00:00"
"67","CV022B","0200000024","BQ","KIRTLAND","OOR",2021-04-30 10:00:00,"2021-05-08 13:00:00"
"68","CV022B","0200000024","DM","KIRTLAND","OOR",2021-05-08 13:00:00,"2021-05-27 19:01:00"
"69","CV022B","0200000024","TF","KIRTLAND","IR",2021-05-27 19:01:00,"2021-06-22 05:30:00"
"70","CV022B","0200000024","BQ","KIRTLAND","OOR",2021-06-22 05:30:00,"2021-06-22 13:45:00"
"71","CV022B","0200000024","TF","KIRTLAND","IR",2021-06-22 13:45:00,"2021-06-24 13:00:00"
"72","CV022B","0200000024","DM","KIRTLAND","OOR",2021-06-24 13:00:00,"2021-06-29 20:30:00"
"73","CV022B","0200000024","TF","KIRTLAND","IR",2021-06-29 20:30:00,"2021-07-27 13:30:00"
"74","CV022B","0200000024","BQ","KIRTLAND","OOR",2021-07-27 13:30:00,"2021-07-28 17:00:00"
"75","CV022B","0200000024","TF","KIRTLAND","IR",2021-07-28 17:00:00,"2022-03-07 10:46:30"
"76","CV022B","0200000025","TF","CANNON","IR",2015-01-01 00:01:00,"2015-01-05 19:00:00"
"77","CV022B","0200000025","BQ","CANNON","OOR",2015-01-05 19:00:00,"2015-01-05 21:00:00"
"78","CV022B","0200000025","TF","CANNON","IR",2015-01-05 21:00:00,"2015-02-09 20:00:00"
"79","CV022B","0200000025","BQ","CANNON","OOR",2015-02-09 20:00:00,"2015-02-09 23:13:00"
"80","CV022B","0200000025","TF","CANNON","IR",2015-02-09 23:13:00,"2015-03-29 22:10:00"
"81","CV022B","0200000025","BQ","CANNON","OOR",2015-03-29 22:10:00,"2015-03-30 18:30:00"
"82","CV022B","0200000025","TF","CANNON","IR",2015-03-30 18:30:00,"2015-06-04 19:31:00"
"83","CV022B","0200000025","BQ","CANNON","OOR",2015-06-04 19:31:00,"2015-06-08 18:00:00"
"84","CV022B","0200000025","TF","CANNON","IR",2015-06-08 18:00:00,"2015-12-10 15:00:00"
"85","CV022B","0200000025","DM","CANNON","OOR",2015-12-10 15:00:00,"2015-12-11 23:30:00"
"86","CV022B","0200000025","TF","CANNON","IR",2015-12-11 23:30:00,"2016-01-08 02:01:00"
"87","CV022B","0200000025","BQ","CANNON","OOR",2016-01-08 02:01:00,"2016-03-02 14:00:00"
"88","CV022B","0200000025","DM","CANNON","OOR",2016-03-02 14:00:00,"2016-03-07 21:00:00"
"89","CV022B","0200000025","BQ","CANNON","OOR",2016-03-07 21:00:00,"2016-03-07 21:01:00"
"90","CV022B","0200000025","TF","CANNON","IR",2016-03-07 21:01:00,"2016-04-16 02:00:00"
"91","CV022B","0200000025","BQ","CANNON","OOR",2016-04-16 02:00:00,"2016-04-18 18:00:00"
"92","CV022B","0200000025","TF","CANNON","IR",2016-04-18 18:00:00,"2017-01-26 19:30:00"
"93","CV022B","0200000025","DM","CANNON","OOR",2017-01-26 19:30:00,"2017-01-27 03:00:00"
"94","CV022B","0200000025","TF","CANNON","IR",2017-01-27 03:00:00,"2017-03-13 23:00:00"
"95","CV022B","0200000025","BQ","CANNON","OOR",2017-03-13 23:00:00,"2017-03-13 23:01:00"
"96","CV022B","0200000025","TF","CANNON","IR",2017-03-13 23:01:00,"2017-03-13 23:03:00"
"97","CV022B","0200000025","BQ","CANNON","OOR",2017-03-13 23:03:00,"2017-03-14 18:00:00"
"98","CV022B","0200000025","TF","CANNON","IR",2017-03-14 18:00:00,"2017-05-16 04:00:00"
"99","CV022B","0200000025","BQ","CANNON","OOR",2017-05-16 04:00:00,"2017-05-18 21:00:00"
"100","CV022B","0200000025","TF","CANNON","IR",2017-05-18 21:00:00,"2017-07-20 04:00:00"
"101","CV022B","0200000025","BQ","CANNON","OOR",2017-07-20 04:00:00,"2017-07-31 09:00:00"
"102","CV022B","0200000025","TF","CANNON","IR",2017-07-31 09:00:00,"2017-09-29 21:25:00"
"103","CV022B","0200000025","BX","CANNON","OOR",2017-09-29 21:25:00,"2017-10-02 20:20:00"
"104","CV022B","0200000025","TF","CANNON","IR",2017-10-02 20:20:00,"2017-11-10 00:30:00"
"105","CV022B","0200000025","BQ","CANNON","OOR",2017-11-10 00:30:00,"2017-11-17 01:00:00"
"106","CV022B","0200000025","TF","CANNON","IR",2017-11-17 01:00:00,"2017-11-19 17:05:00"
"107","CV022B","0200000025","DM","CANNON","OOR",2017-11-19 17:05:00,"2017-11-27 15:35:00"
"108","CV022B","0200000025","TF","CANNON","IR",2017-11-27 15:35:00,"2018-08-06 22:30:00"
"109","CV022B","0200000025","DM","CANNON","OOR",2018-08-06 22:30:00,"2018-10-22 15:00:00"
"110","CV022B","0200000025","TF","CANNON","IR",2018-10-22 15:00:00,"2018-11-03 13:00:00"
"111","CV022B","0200000025","DM","CANNON","OOR",2018-11-03 13:00:00,"2018-11-03 13:01:00"
"112","CV022B","0200000025","DJ","CANNON","OOR",2018-11-03 13:01:00,"2018-11-06 15:00:00"
"113","CV022B","0200000025","DM","CANNON","OOR",2018-11-06 15:00:00,"2018-11-07 20:00:00"
"114","CV022B","0200000025","DJ","CANNON","OOR",2018-11-07 20:00:00,"2018-11-08 20:00:00"
"115","CV022B","0200000025","DM","CANNON","OOR",2018-11-08 20:00:00,"2018-12-03 21:00:00"
"116","CV022B","0200000025","TF","CANNON","IR",2018-12-03 21:00:00,"2019-01-19 06:30:00"
"117","CV022B","0200000025","BQ","CANNON","OOR",2019-01-19 06:30:00,"2019-01-25 22:00:00"
"118","CV022B","0200000025","TF","CANNON","IR",2019-01-25 22:00:00,"2019-03-24 22:46:00"
"119","CV022B","0200000025","DK","CANNON","OOR",2019-03-24 22:46:00,"2019-04-15 13:10:00"
"120","CV022B","0200000025","TF","CANNON","IR",2019-04-15 13:10:00,"2019-07-29 18:00:00"
"121","CV022B","0200000025","BQ","CANNON","OOR",2019-07-29 18:00:00,"2019-07-29 20:50:00"
"122","CV022B","0200000025","TF","CANNON","IR",2019-07-29 20:50:00,"2019-08-06 18:00:00"
"123","CV022B","0200000025","DK","CANNON","OOR",2019-08-06 18:00:00,"2019-08-06 20:45:00"
"124","CV022B","0200000025","TF","CANNON","IR",2019-08-06 20:45:00,"2019-08-07 16:52:00"
"125","CV022B","0200000025","DK","CANNON","OOR",2019-08-07 16:52:00,"2019-08-08 16:00:00"
"126","CV022B","0200000025","TF","CANNON","IR",2019-08-08 16:00:00,"2019-10-25 08:01:00"
"127","CV022B","0200000025","BQ","CANNON","OOR",2019-10-25 08:01:00,"2019-10-25 16:02:00"
"128","CV022B","0200000025","TF","CANNON","IR",2019-10-25 16:02:00,"2020-04-09 22:31:00"
"129","CV022B","0200000025","BQ","CANNON","OOR",2020-04-09 22:31:00,"2020-04-10 13:00:00"
"130","CV022B","0200000025","TF","CANNON","IR",2020-04-10 13:00:00,"2020-04-10 14:15:00"
"131","CV022B","0200000025","DM","CANNON","OOR",2020-04-10 14:15:00,"2020-04-10 17:45:00"
"132","CV022B","0200000025","TF","CANNON","IR",2020-04-10 17:45:00,"2020-04-10 21:06:00"
"133","CV022B","0200000025","BQ","CANNON","OOR",2020-04-10 21:06:00,"2020-04-10 23:50:00"
"134","CV022B","0200000025","TF","CANNON","IR",2020-04-10 23:50:00,"2020-09-23 16:30:00"
"135","CV022B","0200000025","BT","CANNON","OOR",2020-09-23 16:30:00,"2020-09-25 18:00:00"
"136","CV022B","0200000025","TF","CANNON","IR",2020-09-25 18:00:00,"2020-09-28 18:05:00"
"137","CV022B","0200000025","DO","CANNON","OOR",2020-09-28 18:05:00,"2021-04-28 21:00:00"
"138","CV022B","0200000025","TF","CANNON","IR",2021-04-28 21:00:00,"2021-04-29 14:00:00"
"139","CV022B","0200000025","BQ","CANNON","OOR",2021-04-29 14:00:00,"2021-05-03 14:00:00"
"140","CV022B","0200000025","TF","CANNON","IR",2021-05-03 14:00:00,"2021-05-04 22:00:00"
"141","CV022B","0200000025","BQ","CANNON","OOR",2021-05-04 22:00:00,"2021-05-10 14:00:00"
"142","CV022B","0200000025","TF","CANNON","IR",2021-05-10 14:00:00,"2022-01-25 00:05:00"
"143","CV022B","0200000025","XJ","CANNON","OOR",2022-01-25 00:05:00,"2022-03-07 10:46:30"
"144","CV022B","0400000026","BQ","HURLBURT","OOR",2015-01-01 00:01:00,"2015-01-05 17:00:00"
"145","CV022B","0400000026","TF","HURLBURT","IR",2015-01-05 17:00:00,"2015-01-06 09:45:00"
