"","MDS","StatusHistory","SerNum","PPC","AssignLoc","ReportingStatus","StartDateTime","NMCFlag","stop"
"1","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-01 00:01:00,"0",2015-01-06 01:14:00
"2","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-01-06 01:14:00,"1",2015-01-06 04:44:00
"3","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-06 04:44:00,"0",2015-01-07 18:09:00
"4","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-01-07 18:09:00,"1",2015-01-09 01:02:00
"5","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-09 01:02:00,"0",2015-01-10 01:58:00
"6","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-01-10 01:58:00,"1",2015-01-10 06:30:00
"7","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-10 06:30:00,"0",2015-01-12 14:30:00
"8","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-01-12 14:30:00,"1",2015-01-13 20:15:00
"9","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-13 20:15:00,"0",2015-01-15 04:40:00
"10","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-01-15 04:40:00,"1",2015-01-16 04:38:00
"11","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-01-16 04:38:00,"0",2015-01-16 13:30:00
"12","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-01-16 13:30:00,"1",2015-03-09 00:30:00
"13","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-03-09 00:30:00,"0",2015-03-11 00:30:00
"14","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-11 00:30:00,"1",2015-03-11 03:00:00
"15","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-11 03:00:00,"0",2015-03-11 08:50:00
"16","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-11 08:50:00,"1",2015-03-11 23:32:00
"17","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-11 23:32:00,"0",2015-03-12 03:15:00
"18","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-12 03:15:00,"1",2015-03-12 03:52:00
"19","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-12 03:52:00,"0",2015-03-12 17:39:00
"20","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-12 17:39:00,"1",2015-03-12 18:57:00
"21","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-12 18:57:00,"0",2015-03-13 04:43:00
"22","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-13 04:43:00,"1",2015-03-13 20:37:00
"23","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-13 20:37:00,"0",2015-03-16 19:41:00
"24","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-16 19:41:00,"1",2015-03-17 16:02:00
"25","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-17 16:02:00,"0",2015-03-18 11:10:00
"26","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-18 11:10:00,"1",2015-03-19 03:52:00
"27","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-19 03:52:00,"0",2015-03-19 20:45:00
"28","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-19 20:45:00,"1",2015-03-20 00:40:00
"29","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-03-20 00:40:00,"0",2015-03-23 18:00:00
"30","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-23 18:00:00,"1",2015-03-23 23:15:00
"31","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-03-23 23:15:00,"0",2015-03-24 11:00:00
"32","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-24 11:00:00,"1",2015-03-30 17:35:00
"33","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-03-30 17:35:00,"0",2015-03-31 23:59:00
"34","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-03-31 23:59:00,"1",2015-04-01 02:00:00
"35","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-01 02:00:00,"0",2015-04-01 03:23:00
"36","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-01 03:23:00,"1",2015-04-02 03:40:00
"37","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-02 03:40:00,"0",2015-04-02 22:33:00
"38","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-02 22:33:00,"1",2015-04-03 16:30:00
"39","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-03 16:30:00,"0",2015-04-04 01:00:00
"40","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-04 01:00:00,"1",2015-04-06 22:08:00
"41","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-06 22:08:00,"0",2015-04-08 21:50:00
"42","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-08 21:50:00,"1",2015-04-10 00:04:00
"43","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-10 00:04:00,"0",2015-04-10 19:13:00
"44","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-04-10 19:13:00,"1",2015-04-11 12:00:00
"45","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-11 12:00:00,"0",2015-04-15 02:00:00
"46","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-15 02:00:00,"1",2015-04-16 05:45:00
"47","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-04-16 05:45:00,"0",2015-04-17 01:54:00
"48","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-17 01:54:00,"1",2015-04-18 03:02:00
"49","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-04-18 03:02:00,"0",2015-04-21 00:45:00
"50","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-21 00:45:00,"1",2015-04-21 00:46:00
"51","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-21 00:46:00,"0",2015-04-21 00:47:00
"52","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-21 00:47:00,"1",2015-04-24 12:42:00
"53","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-24 12:42:00,"0",2015-04-27 22:30:00
"54","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-27 22:30:00,"1",2015-04-29 15:44:00
"55","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-29 15:44:00,"0",2015-05-01 03:37:00
"56","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-01 03:37:00,"1",2015-05-09 19:20:00
"57","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-09 19:20:00,"0",2015-05-11 00:30:00
